sample_id,coverage,purity,simulator,seg_id,seg_info,actual_CN,observed_CN,target_CN
2,10,1,PB,1,chr6:138674059-138774059,3,3,2
2,10,1,PB,2,chr6:138774059-138774181,4,4,2
2,10,1,PB,3,chr6:138774181-138874181,3,3,2
2,10,1,PB,4,chr15:23585608-23685608,3,3,4
2,10,1,PB,5,chr15:23685608-23706879,5,5,4
2,10,1,PB,6,chr15:23706879-23712617,6,6,4
2,10,1,PB,7,chr15:23712617-23717166,5,5,4
2,10,1,PB,8,chr15:23717166-23831660,6,6,4
2,10,1,PB,9,chr15:23831660-23992700,4,4,4
2,10,1,PB,10,chr15:23992700-24092700,2,2,2
2,10,1,PB,11,chr20:37174468-37274468,4,4,2
2,10,1,PB,12,chr20:37274468-37274667,5,5,2
2,10,1,PB,13,chr20:37274667-37374667,4,4,2
2,10,1,PB_long,1,chr6:138674059-138774059,3,3,2
2,10,1,PB_long,2,chr6:138774059-138774181,4,4,2
2,10,1,PB_long,3,chr6:138774181-138874181,3,3,2
2,10,1,PB_long,4,chr15:23585608-23685608,3,3,4
2,10,1,PB_long,5,chr15:23685608-23706879,5,5,4
2,10,1,PB_long,6,chr15:23706879-23712617,6,6,4
2,10,1,PB_long,7,chr15:23712617-23717166,5,5,4
2,10,1,PB_long,8,chr15:23717166-23831660,6,6,4
2,10,1,PB_long,9,chr15:23831660-23992700,4,4,4
2,10,1,PB_long,10,chr15:23992700-24092700,2,2,2
2,10,1,PB_long,11,chr20:37174468-37274468,4,4,2
2,10,1,PB_long,12,chr20:37274468-37274667,5,5,2
2,10,1,PB_long,13,chr20:37274667-37374667,4,4,2
2,30,1,PB,1,chr6:138674059-138774059,3,3,2
2,30,1,PB,2,chr6:138774059-138774181,4,4,2
2,30,1,PB,3,chr6:138774181-138874181,3,3,2
2,30,1,PB,4,chr15:23585608-23685608,3,3,4
2,30,1,PB,5,chr15:23685608-23706879,5,5,4
2,30,1,PB,6,chr15:23706879-23712617,6,6,4
2,30,1,PB,7,chr15:23712617-23717166,5,5,4
2,30,1,PB,8,chr15:23717166-23831660,6,6,4
2,30,1,PB,9,chr15:23831660-23992700,4,4,4
2,30,1,PB,10,chr15:23992700-24092700,2,2,2
2,30,1,PB,11,chr20:37174468-37274468,4,4,2
2,30,1,PB,12,chr20:37274468-37274667,5,5,2
2,30,1,PB,13,chr20:37274667-37374667,4,4,2
2,30,1,PB_long,1,chr6:138674059-138774059,3,3,2
2,30,1,PB_long,2,chr6:138774059-138774181,4,4,2
2,30,1,PB_long,3,chr6:138774181-138874181,3,3,2
2,30,1,PB_long,4,chr15:23585608-23685608,3,3,4
2,30,1,PB_long,5,chr15:23685608-23706879,5,5,4
2,30,1,PB_long,6,chr15:23706879-23712617,6,6,4
2,30,1,PB_long,7,chr15:23712617-23717166,5,5,4
2,30,1,PB_long,8,chr15:23717166-23831660,6,6,4
2,30,1,PB_long,9,chr15:23831660-23992700,4,4,4
2,30,1,PB_long,10,chr15:23992700-24092700,2,2,2
2,30,1,PB_long,11,chr20:37174468-37274468,4,4,2
2,30,1,PB_long,12,chr20:37274468-37274667,5,5,2
2,30,1,PB_long,13,chr20:37274667-37374667,4,4,2
2,5,1,ONT,1,chr6:138674059-138774059,3,3,2
2,5,1,ONT,2,chr6:138774059-138774181,4,4,2
2,5,1,ONT,3,chr6:138774181-138874181,3,3,2
2,5,1,ONT,4,chr15:23585608-23685608,3,3,2
2,5,1,ONT,5,chr15:23685608-23706879,5,5,2
2,5,1,ONT,6,chr15:23706879-23712617,6,6,2
2,5,1,ONT,7,chr15:23712617-23717166,5,5,2
2,5,1,ONT,8,chr15:23717166-23831660,6,6,2
2,5,1,ONT,9,chr15:23831660-23992700,4,4,2
2,5,1,ONT,10,chr15:23992700-24092700,2,2,2
2,5,1,ONT,11,chr20:37174468-37274468,4,4,2
2,5,1,ONT,12,chr20:37274468-37274667,5,5,2
2,5,1,ONT,13,chr20:37274667-37374667,4,4,2
2,5,1,ONT_long,1,chr6:138674059-138774059,3,3,2
2,5,1,ONT_long,2,chr6:138774059-138774181,4,4,2
2,5,1,ONT_long,3,chr6:138774181-138874181,3,3,2
2,5,1,ONT_long,4,chr15:23585608-23685608,3,3,2
2,5,1,ONT_long,5,chr15:23685608-23706879,5,5,2
2,5,1,ONT_long,6,chr15:23706879-23712617,6,6,2
2,5,1,ONT_long,7,chr15:23712617-23717166,5,5,2
2,5,1,ONT_long,8,chr15:23717166-23831660,6,6,2
2,5,1,ONT_long,9,chr15:23831660-23992700,4,4,2
2,5,1,ONT_long,10,chr15:23992700-24092700,2,2,2
2,5,1,ONT_long,11,chr20:37174468-37274468,4,4,2
2,5,1,ONT_long,12,chr20:37274468-37274667,5,5,2
2,5,1,ONT_long,13,chr20:37274667-37374667,4,4,2
2,10,1,PE,1,chr6:138674059-138774059,3,3,2
2,10,1,PE,2,chr6:138774059-138774181,4,4,2
2,10,1,PE,3,chr6:138774181-138874181,3,3,2
2,10,1,PE,4,chr15:23585608-23685608,3,3,4
2,10,1,PE,5,chr15:23685608-23706879,5,5,4
2,10,1,PE,6,chr15:23706879-23712617,6,6,4
2,10,1,PE,7,chr15:23712617-23717166,5,5,4
2,10,1,PE,8,chr15:23717166-23831660,6,6,4
2,10,1,PE,9,chr15:23831660-23992700,4,4,4
2,10,1,PE,10,chr15:23992700-24092700,2,2,2
2,10,1,PE,11,chr20:37174468-37274468,4,4,2
2,10,1,PE,12,chr20:37274468-37274667,5,5,2
2,10,1,PE,13,chr20:37274667-37374667,4,4,2
2,10,1,PE_PB,1,chr6:138674059-138774059,3,3,2
2,10,1,PE_PB,2,chr6:138774059-138774181,4,4,2
2,10,1,PE_PB,3,chr6:138774181-138874181,3,3,2
2,10,1,PE_PB,4,chr15:23585608-23685608,3,3,4
2,10,1,PE_PB,5,chr15:23685608-23706879,5,5,4
2,10,1,PE_PB,6,chr15:23706879-23712617,6,6,4
2,10,1,PE_PB,7,chr15:23712617-23717166,5,5,4
2,10,1,PE_PB,8,chr15:23717166-23831660,6,6,4
2,10,1,PE_PB,9,chr15:23831660-23992700,4,4,4
2,10,1,PE_PB,10,chr15:23992700-24092700,2,2,2
2,10,1,PE_PB,11,chr20:37174468-37274468,4,4,2
2,10,1,PE_PB,12,chr20:37274468-37274667,5,5,2
2,10,1,PE_PB,13,chr20:37274667-37374667,4,4,2
2,10,1,PE_ONT,1,chr6:138674059-138774059,3,3,2
2,10,1,PE_ONT,2,chr6:138774059-138774181,4,4,2
2,10,1,PE_ONT,3,chr6:138774181-138874181,3,3,2
2,10,1,PE_ONT,4,chr15:23585608-23685608,3,3,4
2,10,1,PE_ONT,5,chr15:23685608-23706879,5,5,4
2,10,1,PE_ONT,6,chr15:23706879-23712617,6,6,4
2,10,1,PE_ONT,7,chr15:23712617-23717166,5,5,4
2,10,1,PE_ONT,8,chr15:23717166-23831660,6,6,4
2,10,1,PE_ONT,9,chr15:23831660-23992700,4,4,4
2,10,1,PE_ONT,10,chr15:23992700-24092700,2,2,2
2,10,1,PE_ONT,11,chr20:37174468-37274468,4,4,2
2,10,1,PE_ONT,12,chr20:37274468-37274667,5,5,2
2,10,1,PE_ONT,13,chr20:37274667-37374667,4,4,2
2,10,1,PE_10x,1,chr6:138674059-138774059,3,3,4
